Team,Year,Athletes,EventsParticipated,TotalMedals,Gold,Silver,Bronze
YUG,1924,116,27,2.0,2.0,0.0,0.0
BUL,1952,179,34,1.0,0.0,0.0,1.0
ECU,1996,28,18,1.0,1.0,0.0,0.0
IRL,1928,44,27,1.0,1.0,0.0,0.0
LAT,1932,13,4,1.0,0.0,1.0,0.0
LTU,1992,54,31,2.0,1.0,0.0,1.0
PHI,1928,6,6,1.0,0.0,0.0,1.0
URU,1924,40,11,1.0,1.0,0.0,0.0
PAN,1948,2,2,2.0,0.0,0.0,2.0
ZIM,1980,52,30,1.0,1.0,0.0,0.0
CHN,1984,323,105,32.0,15.0,8.0,9.0
GUA,2012,24,21,1.0,0.0,1.0,0.0
VEN,1952,63,37,1.0,0.0,0.0,1.0
AFG,2008,4,4,1.0,0.0,0.0,1.0
BER,1976,20,12,1.0,0.0,0.0,1.0
CRC,1988,33,18,1.0,0.0,1.0,0.0
GUY,1980,10,10,1.0,0.0,0.0,1.0
IRQ,1960,28,23,1.0,0.0,0.0,1.0
JAM,1948,26,14,3.0,1.0,2.0,0.0
KOR,1948,48,24,2.0,0.0,0.0,2.0
LIB,1952,9,8,2.0,0.0,1.0,1.0
PAK,1956,79,43,1.0,0.0,1.0,0.0
PUR,1948,9,8,1.0,0.0,0.0,1.0
SGP,1960,5,3,1.0,0.0,1.0,0.0
SRI,2000,24,16,1.0,0.0,1.0,0.0
SYR,1984,9,9,1.0,0.0,1.0,0.0
TTO,1948,9,9,1.0,0.0,1.0,0.0
AHO,1988,4,4,1.0,0.0,1.0,0.0
BAH,1956,5,4,1.0,0.0,0.0,1.0
GHA,1960,15,12,1.0,0.0,1.0,0.0
HKG,1996,32,25,1.0,1.0,0.0,0.0
INA,1988,43,32,1.0,0.0,1.0,0.0
ISR,1992,44,42,2.0,0.0,1.0,1.0
NGR,1964,19,12,1.0,0.0,0.0,1.0
THA,1976,62,33,1.0,0.0,0.0,1.0
ETH,1960,15,8,1.0,1.0,0.0,0.0
FIJ,2016,53,14,1.0,1.0,0.0,0.0
KEN,1964,41,21,1.0,0.0,0.0,1.0
TPE,1984,52,40,1.0,0.0,0.0,1.0
UGA,1968,14,14,2.0,0.0,1.0,1.0
MAR,1960,111,45,1.0,0.0,1.0,0.0
SMR,2020,8,7,3.0,0.0,1.0,2.0
SUD,2008,9,8,1.0,0.0,1.0,0.0
TUN,1964,12,9,2.0,0.0,1.0,1.0
ALG,1984,33,17,2.0,0.0,0.0,2.0
CIV,1984,18,14,1.0,0.0,1.0,0.0
CMR,1968,5,5,1.0,0.0,1.0,0.0
DOM,1984,24,20,1.0,0.0,0.0,1.0
MAS,1992,30,11,1.0,0.0,0.0,1.0
MGL,1968,38,26,4.0,0.0,1.0,3.0
NIG,1972,4,4,1.0,0.0,0.0,1.0
SEN,1988,35,23,1.0,0.0,1.0,0.0
TAN,1980,48,22,2.0,0.0,2.0,0.0
ZAM,1984,18,18,1.0,0.0,0.0,1.0
BAR,2000,28,21,1.0,0.0,0.0,1.0
FRG,1968,432,154,26.0,5.0,11.0,10.0
GDR,1968,346,124,25.0,9.0,9.0,7.0
ISV,1988,46,27,1.0,0.0,1.0,0.0
KUW,2000,30,10,1.0,0.0,0.0,1.0
PAR,2004,22,6,1.0,0.0,1.0,0.0
SUR,1988,10,10,1.0,1.0,0.0,0.0
ALB,2024,9,9,2.0,0.0,0.0,2.0
BUR,2020,8,8,1.0,0.0,0.0,1.0
GAB,2012,21,7,1.0,0.0,1.0,0.0
KSA,2000,23,14,2.0,0.0,1.0,1.0
PRK,1972,83,23,5.0,1.0,1.0,3.0
TOG,2008,4,4,1.0,0.0,0.0,1.0
BOT,2012,4,4,1.0,0.0,1.0,0.0
CYP,2012,13,12,1.0,0.0,1.0,0.0
JOR,2016,8,8,1.0,1.0,0.0,0.0
MOZ,1996,3,3,1.0,0.0,0.0,1.0
VIE,2000,7,7,1.0,0.0,1.0,0.0
BRN,2012,14,11,1.0,1.0,0.0,0.0
DJI,1988,6,5,1.0,0.0,0.0,1.0
GRN,2012,8,8,1.0,1.0,0.0,0.0
MRI,2008,11,11,1.0,0.0,0.0,1.0
QAT,1992,30,11,1.0,0.0,0.0,1.0
SAM,2008,7,7,1.0,0.0,1.0,0.0
TGA,1996,5,5,1.0,0.0,1.0,0.0
UAE,2004,5,5,1.0,1.0,0.0,0.0
CRO,1992,46,23,3.0,0.0,1.0,2.0
EUN,1992,650,234,112.0,45.0,38.0,29.0
NAM,1992,10,9,2.0,0.0,2.0,0.0
SLO,1992,47,34,2.0,0.0,0.0,2.0
ARM,1996,38,36,2.0,1.0,1.0,0.0
AZE,1996,24,23,1.0,0.0,1.0,0.0
BDI,1996,7,6,1.0,1.0,0.0,0.0
BLR,1996,259,115,15.0,1.0,6.0,8.0
CPV,2024,7,7,1.0,0.0,0.0,1.0
CZE,1996,169,110,11.0,4.0,3.0,4.0
DMA,2024,4,4,1.0,1.0,0.0,0.0
GEO,1996,42,39,2.0,0.0,0.0,2.0
KAZ,1996,142,99,11.0,3.0,4.0,4.0
KGZ,2000,71,59,1.0,0.0,0.0,1.0
LCA,2024,5,5,2.0,1.0,1.0,0.0
MDA,1996,50,41,2.0,0.0,1.0,1.0
MKD,2000,15,15,1.0,0.0,0.0,1.0
SCG,2004,96,39,2.0,0.0,2.0,0.0
SVK,1996,98,69,3.0,1.0,1.0,1.0
TJK,2008,16,16,2.0,0.0,1.0,1.0
TKM,2020,10,10,1.0,0.0,1.0,0.0
UKR,1996,351,148,23.0,9.0,2.0,12.0
UZB,1996,95,70,2.0,0.0,1.0,1.0
ERI,2004,5,3,1.0,0.0,0.0,1.0
MNE,2012,34,9,1.0,0.0,1.0,0.0
KOS,2016,8,8,1.0,1.0,0.0,0.0
EOR,2024,44,39,1.0,0.0,0.0,1.0
